LocalAuthorityName	SiteCode	SiteName	SiteType	DateClosed	DateOpened	Latitude	Longitude
Hackney	CW3	Tower Hamlets - Jubilee Park	Urban Background		2022-01-17 00:00:00	51.5029878731458	-0.0180219908165375
Tower Hamlets	TH2	Tower Hamlets - Mile End Road	Roadside		1994-03-10 00:00:00	51.5225294860844	-0.0421550991900347
Tower Hamlets	TH6	Tower Hamlets - Millwall Park	Urban Background	2016-11-26 00:00:00	2015-07-06 00:00:00	51.4891342634	-0.0129769309432
Tower Hamlets	TH1	Tower Hamlets - Poplar	Urban Background	2013-07-02 00:00:00	1994-01-04 17:00:00	51.510012	-0.019866
Tower Hamlets	TH5	Tower Hamlets - Victoria Park	Urban Background	2016-11-26 00:00:00	2012-07-25 00:00:00	51.5405194915241	-0.033307388878
Waltham Forest	WL3	Waltham Forest - Chingford	Roadside	2007-04-18 00:00:00	2003-07-14 12:00:00	51.6251928602333	-0.0225973251092037
Waltham Forest	WL4	Waltham Forest - Crooked Billet	Kerbside	2011-04-01 00:00:00	2007-11-01 00:00:00	51.601718495597	-0.016498263136
Waltham Forest	WL1	Waltham Forest - Dawlish Road	Urban Background	2011-04-01 00:00:00	1998-07-05 08:00:00	51.562422	-0.004891
Waltham Forest	WL5	Waltham Forest - Leyton	Roadside	2011-04-01 00:00:00	2007-09-20 00:00:00	51.556257676576	-0.013629679065
Waltham Forest	WL2	Waltham Forest - Mobile	Roadside	2001-10-12 11:00:00	1998-07-09 12:15:00	51.564725703428	0.00399595335237289
Wandsworth	WAA	Wandsworth - Battersea	Roadside		2012-06-19 00:00:00	51.4794395281222	-0.141786953606306
